umap_lat,umap_lon
17.042631,12.171614
27.75416,16.21306
27.888496,16.399906
27.8372,16.583214
27.910711,16.43297
27.904345,16.447071
28.047787,16.328444
28.046225,16.327309
28.275688,16.600296
28.048277,16.30869
28.208794,16.696894
28.202602,16.69855
28.198275,16.703321
28.287302,16.575521
28.201471,16.691818
28.190042,16.706024
28.222563,16.698824
28.212976,16.700157
28.238628,16.623236
28.301939,16.573944
28.20129,16.708464
28.196085,16.716143
28.312723,16.570627
28.347818,16.539133
28.340702,16.541904
28.067646,16.845644
28.073654,16.826515
28.069645,16.828829
28.098263,16.836905
28.08228,16.83468
28.127544,16.835823
28.094086,16.825298
28.329857,16.55558
28.35393,16.544252
28.365858,16.53018
28.361963,16.542273
28.35891,16.541185
28.950998,16.178267
28.344416,16.54763
28.332064,16.55051
28.35002,16.54457
28.37087,16.537533
28.336128,16.550323
28.274864,16.589056
28.37439,16.545244
28.352291,16.559616
28.354965,16.540726
28.877014,16.433449
28.873034,16.43657
28.878685,16.434872
28.885117,16.45069
28.872822,16.43858
28.886147,16.433027
28.87179,16.438572
29.303688,15.931925
29.299223,15.932345
29.300514,15.943558
29.297848,15.934434
29.29836,15.933986
29.355377,15.962828
29.009262,16.149675
29.355135,15.962488
29.357967,15.955361
29.42536,16.013273
29.364758,15.985352
29.371353,15.974023
29.363344,15.969568
29.364511,15.905868
29.362017,15.960495
29.360386,15.956286
29.36865,15.948002
29.362309,15.955764
29.349133,15.966085
29.359697,15.956142
29.360466,15.963185
29.304811,15.928901
29.303492,15.93051
29.302896,15.930195
29.361275,15.956314
29.32617,15.769007
29.305466,15.942367
28.884497,16.427818
29.304037,15.930135
29.30669,15.927077
29.310986,15.925845
29.305826,15.929722
28.886024,16.424772
28.885597,16.424603
29.325586,15.566781
29.325298,15.561206
29.323923,15.5639305
29.331017,15.749103
29.325314,15.755122
29.30136,15.395091
29.292412,15.59426
29.324762,15.54834
28.870998,16.440619
28.89354,16.425604
28.8825,16.427406
28.870934,16.43831
28.06783,15.985438
28.06702,15.9844055
28.0686,15.950184
28.06916,15.983991
28.883219,16.426985
27.641058,15.48491
27.632746,15.468898
28.065762,15.980717
27.634916,15.473131
28.064705,15.981571
28.067348,15.9903
28.067839,15.982551
28.068214,15.982359
28.047976,16.257069
28.040804,16.254005
28.061392,16.287083
28.057957,16.277618
28.058086,16.271906
27.795746,16.189758
27.795454,16.1869
27.988836,16.16725
27.893927,16.38371
27.859665,16.325977
27.911825,16.300865
27.885748,16.38629
27.758295,16.180687
27.637192,15.988265
27.444315,15.829879
27.400639,15.756177
27.32758,15.823939
27.450134,15.849375
27.324139,15.823851
27.342299,15.80163
27.408752,15.763966
27.339838,15.816618
27.344557,15.804874
27.338362,15.803557
27.307425,15.825558
27.330467,15.780526
27.330643,15.778384
23.973585,19.359081
27.36571,15.561877
24.123335,19.239597
27.164429,15.225361
27.153498,15.236519
27.251732,15.303808
27.445547,15.341923
27.48467,15.011724
27.476484,15.010969
27.486044,15.010521
27.482954,15.376578
27.479574,15.374345
27.795286,15.0942335
27.614681,15.455761
27.440638,15.336604
27.616056,15.461836
27.650576,15.470165
27.635292,15.466222
27.630924,15.463872
27.631706,15.46971
27.819489,15.109502
29.442886,15.38448
27.577728,15.52504
28.068106,15.983308
29.444572,15.401631
29.449808,15.395348
29.445024,15.391662
29.436506,15.382773
27.93185,14.968621
29.443419,15.371779
29.442482,15.39136
29.441444,15.390978
29.445833,15.395142
29.443455,15.389452
27.818516,15.109994
27.82045,15.109846
27.82055,15.096175
27.819351,15.108266
27.806057,15.1154175
27.81922,15.1111765
27.82136,15.102087
27.814255,15.10731
27.818138,15.109038
27.832952,15.112214
27.82698,15.08427
27.922966,14.97755
27.882338,14.957842
27.894249,15.001299
27.896032,14.971199
27.914705,14.957657
27.959208,14.973012
27.90684,14.956098
